time (s),altitude (ft),altitude_rate (ft/s),distance (m),drag (lbf),electric_power_in_total (kW),fuel_flow_rate_negative_total (lbm/h),mach (unitless),mach_rate (1/s),mass (kg),specific_energy_rate_excess (m/s),throttle (unitless),thrust_net_total (lbf),velocity (m/s)
1591.8721621119005,21206.320021930645,13.321622506292655,190157.71009382964,5203.65079828059,0.0,-3846.8504873435418,0.5341601942849677,0.00020991647585673278,57788.20324382039,12.62980037378302,0.5663654309856698,9140.42215891793,168.00909446398396
1591.8721621119005,21206.320021930645,13.321622506292655,190157.71009382964,5203.65079828059,0.0,-3846.8504873435418,0.5341601942849677,0.00020991647585673278,57788.20324382039,12.62980037378302,0.5663654309856698,9140.42215891793,168.00909446398396
1802.8803877374633,24017.29194943702,13.321622506292655,226856.98541648907,5246.368037812721,0.0,-3865.8345105673257,0.5784542973850683,0.00020991647585673278,57685.714899039165,10.915707299940607,0.6493603332392349,8963.673487023801,179.87558336918568
2094.028671712766,27895.859481910902,13.321622506292655,281532.23465013027,5350.77075759579,0.0,-3920.669207931489,0.639571119108899,0.00020991647585673278,57542.99611564226,8.537244967961701,0.7837582500342541,8813.933668642307,195.6871979706353
2186.176108133924,29123.41284483617,13.321622506292655,299785.2887564916,5378.375217040325,0.0,-3933.616960903263,0.6589143842216608,0.00020991647585673278,57497.33795299893,7.7516458158309645,0.8333587409531492,8770.64030756022,200.55315217395443
2186.176108133924,29123.41284483617,13.321622506292655,299785.2887564916,5378.375217040325,0.0,-3933.616960903263,0.6589143842216608,0.00020991647585673278,57497.33795299893,7.7516458158309645,0.8333587409531492,8770.64030756022,200.55315217395443
2289.4958235132076,30499.799090576584,13.321622506292655,320780.65491240623,5405.91773172162,0.0,-3946.66732869506,0.6806028947606007,0.00020991647585673278,57446.05000821545,6.88264971026897,0.8920809045713463,8723.337037916708,205.92919950372456
2432.055942884454,32398.93118529235,13.321622506292655,350653.00145894976,5436.786524582861,0.0,-3972.3659567942536,0.7105286126167278,0.00020991647585673278,57374.94144070899,5.792469205603073,0.9724528667678146,8658.197044713912,213.20651862867666
2477.175733242102,33000.0,13.321622506292655,360322.35585776647,5446.584400493054,0.0,-3978.3810717390993,0.72,0.00020991647585673278,57352.33057017671,5.440792093480852,0.9999990996220012,8639.214577467876,215.47550875651703
2477.175733242102,33000.0,0.09545455665412017,360322.35585776647,5446.584400493054,0.0,-2661.8885928232294,0.72,2.8636366996236075e-06,57352.33057017671,5.440792093480852,0.583740188494262,5474.706612523448,215.47550875651703
3351.071659750408,33083.41734822669,0.09545455665412017,548917.8874119403,5438.049000476044,0.0,-2661.7085297785525,0.7225025204468007,2.8636366996236075e-06,57059.24467782291,5.447086102020182,0.5851812292826104,5465.970864115668,216.14451625833033
4556.86967365057,33198.51626305795,0.09545455665412017,810100.5804669567,5427.40464339946,0.0,-2661.8496886748117,0.7259554878917385,2.8636366996236075e-06,56654.85163687418,5.453414503953986,0.5873409693881074,5455.051624841387,217.0666533063051
4938.500622339412,33234.94467607054,0.09545455665412017,892995.5820946494,5423.885420719795,0.0,-2661.8178949637645,0.7270483402821161,2.8636366996236075e-06,56526.854262228284,5.45557617641037,0.5880100285689935,5451.445770933999,217.35827526995908
4938.500622339412,33234.94467607054,0.09545455665412017,892995.5820946494,5423.885420719795,0.0,-2661.8178949637645,0.7270483402821161,2.8636366996236075e-06,56526.854262228284,5.45557617641037,0.5880100285689935,5451.445770933999,217.35827526995908
6723.244493893845,33405.30661107092,0.09545455665412017,1282140.4946586904,5408.377522699902,0.0,-2661.951415409286,0.7321591983321276,2.8636366996236075e-06,55928.29146974565,5.463343203351244,0.5913008063190792,5435.5350920585615,218.72060406666353
9185.826765262707,33640.37131000873,0.09545455665412017,1823068.5007647648,5393.202958711123,0.0,-2664.388295109044,0.7392111393002619,2.8636366996236075e-06,55102.030277474834,5.460881365927321,0.5967820033469245,5419.810829029179,220.5963400621367
9965.225634404183,33714.76848351936,0.09545455665412017,1995232.0414165545,5388.264065533696,0.0,-2665.0420708105357,0.7414430545055807,2.8636366996236075e-06,54840.31795488935,5.459783762439859,0.5985264303154982,5414.69933801787,221.18903677686006
9965.225634404183,33714.76848351936,0.09545455665412017,1995232.0414165545,5388.264065533696,0.0,-2665.0420708105357,0.7414430545055807,2.8636366996236075e-06,54840.31795488935,5.459783762439859,0.5985264303154982,5414.69933801787,221.18903677686006
